ID,Year,Country name,Start date,End date,Type,Regions affected (v2021),Cause,References
2884,2006,Switzerland,2006-04-09,2006-04-10,River,"[(46.8382351, 7.6004502), (46.6789116, 7.1027113), (46.783362499999996, 5.783285726354901), (47.5092938, 7.6588333), (47.6960491, 8.634513)]",Heavy rainfall,Hilker et al. (2007b)
1467,2006,Switzerland,2006-07-05,2006-07-27,River,"[(46.2303063, 7.6605757), (46.8382351, 7.6004502)]",Heavy rainfall,CRED (2023); Brakenridge (2022); Hilker et al. (2007b)
2885,2006,Switzerland,2006-09-17,2006-09-18,Flash,"[(47.31874, 7.6698284), (47.5092938, 7.6588333), (47.425618, 9.3762397)]",Extreme rainfall,Hilker et al. (2007b)
1468,2007,Switzerland,2007-06-04,2007-06-21,River,"[(46.8382351, 7.6004502), (47.3744489, 8.5410422), (47.6960491, 8.634513), (47.425618, 9.3762397), (47.0505452, 8.3054682), (47.0571976, 8.7222073)]",Heavy rainfall (several waves),Brakenridge (2022); Hilker et al. (2008)
1469,2007,Switzerland,2007-08-07,2007-08-22,River,"[(46.2303063, 7.6605757), (46.8382351, 7.6004502), (46.6789116, 7.1027113), (47.31874, 7.6698284), (46.9895828, 6.9292641), (47.5092938, 7.6588333), (47.412396, 8.1948321), (46.6960615, 9.6027351), (47.0505452, 8.3054682)]",Heavy rainfall (several waves),CRED (2023); Hilker et al. (2008)
2886,2007,Switzerland,2007-08-29,2007-08-30,Flash,"[(46.8382351, 7.6004502)]",Extreme rainfall,Hilker et al. (2008)
2887,2009,Switzerland,2009-08-08,2009-08-08,Flash,"[(46.8382351, 7.6004502), (47.425618, 9.3762397), (47.0505452, 8.3054682)]",Extreme rainfall,Hilker et al. (2010)
2888,2010,Switzerland,2010-06-06,2010-06-06,Flash,"[(46.8382351, 7.6004502)]",Extreme rainfall,Hilker et al. (2011)
2889,2011,Switzerland,2011-07-10,2011-07-10,Flash,"[(47.3960076, 9.3705839)]",Extreme rainfall,Andres et al. (2012)
2890,2011,Switzerland,2011-10-08,2011-10-10,River,"[(46.2303063, 7.6605757), (46.8382351, 7.6004502), (46.9796562, 9.108812)]",Heavy rainfall and snowmelt,Andres et al. (2012)
2891,2013,Switzerland,2013-05-02,2013-05-02,Flash,"[(47.412396, 8.1948321), (47.3744489, 8.5410422), (47.6960491, 8.634513)]",Extreme rainfall up to 33 mm in 10 min,Andres et al. (2014)
2892,2013,Switzerland,2013-05-31,2013-06-02,River,"[(47.3744489, 8.5410422), (47.3960076, 9.3705839), (47.3007262, 9.3991527), (47.425618, 9.3762397), (47.0571976, 8.7222073)]",Heavy rainfall,Andres et al. (2014); Sturmarchiv Schweiz (2022)
6004,2014,Switzerland,2014-07-04,2014-07-28,River,"[(46.8382351, 7.6004502), (47.425618, 9.3762397), (47.0505452, 8.3054682)]",Heavy rainfall (several waves),Andres et al. (2015); Sturmarchiv Schweiz (2022); FloodList (2022)
6006,2015,Switzerland,2015-06-07,2015-06-07,Flash,"[(47.0505452, 8.3054682)]",Extreme rainfall above 50 mm in 1 h,Andres et al. (2016); Sturmarchiv Schweiz (2022); FloodList (2022)
2893,2016,Switzerland,2016-06-04,2016-06-30,River,"[(46.6789116, 7.1027113), (47.5092938, 7.6588333), (47.412396, 8.1948321), (47.6960491, 8.634513), (47.425618, 9.3762397), (47.0505452, 8.3054682), (46.8613857, 8.2067825)]",Heavy rainfall (several waves),Andres and Badoux (2017); Sturmarchiv Schweiz (2022)
6007,2019,Switzerland,2019-06-21,2019-06-21,Flash,"[(46.9895828, 6.9292641)]",Extreme rainfall up to 100 mm in 3 h,Liechti et al. (2020); Sturmarchiv Schweiz (2022); FloodList (2022); Gretillat (2021)
