ID,Year,Country name,Latitude,Longitude,Start date,End date,Type,regions,Cause,References,Fatalities,"Losses (mln EUR, 2020)"
1459,1987,Switzerland,46.3351913,8.7525902,24.08.1987,25.08.1987,Flash,"[(46.3351913, 8.7525902)]",Extreme rainfall,Hilker et al. (2009); Bundesamt für Wasserwirtschaft (1991); Rothlisberger (1991); Thomas (1988a),2,1012
1460,1988,Switzerland,46.8382351,7.6004502,11.06.1988,16.06.1988,Flash,"[(46.8382351, 7.6004502)]",Extreme rainfall (3 series),Hilker et al. (2009); Rothlisberger (1991),1,153
1460,1988,Switzerland,47.211567,7.005484,11.06.1988,16.06.1988,Flash,"[(47.211567, 7.005484)]",Extreme rainfall (3 series),Hilker et al. (2009); Rothlisberger (1991),1,153
1460,1988,Switzerland,47.0505452,8.3054682,11.06.1988,16.06.1988,Flash,"[(47.0505452, 8.3054682)]",Extreme rainfall (3 series),Hilker et al. (2009); Rothlisberger (1991),1,153
1461,1990,Switzerland,46.8382351,7.6004502,29.07.1990,29.07.1990,Flash,"[(46.8382351, 7.6004502)]",Extreme rainfall up to 500 mm in 4 h,Munich Re (2017); PLANAT (2011),None,45
6029,1993,Switzerland,47.412396,8.1948321,16.07.1993,17.07.1993,Flash,"[(47.412396, 8.1948321)]",Extreme rainfall up to 50 mm in 1 h,Sturmarchiv Schweiz (2022),1,8
1462,1993,Switzerland,46.2303063,7.6605757,23.09.1993,14.10.1993,River,"[(46.2303063, 7.6605757)]","Heavy rainfall, more than 100 mm/day",Barredo (2007); Brakenridge (2022); Stucki et al. (2013); Hilker et al. (2009); Sturmarchiv Schweiz (2022),2,774
1462,1993,Switzerland,46.3351913,8.7525902,23.09.1993,14.10.1993,River,"[(46.3351913, 8.7525902)]","Heavy rainfall, more than 100 mm/day",Barredo (2007); Brakenridge (2022); Stucki et al. (2013); Hilker et al. (2009); Sturmarchiv Schweiz (2022),2,774
2334,1994,Switzerland,47.412396,8.1948321,18.05.1994,19.05.1994,Flash,"[(47.412396, 8.1948321)]",Extreme rainfall up to 100 mm in 12 h,Rothlisberger (1995); Sturmarchiv Schweiz (2022),None,132
2334,1994,Switzerland,47.3744489,8.5410422,18.05.1994,19.05.1994,Flash,"[(47.3744489, 8.5410422)]",Extreme rainfall up to 100 mm in 12 h,Rothlisberger (1995); Sturmarchiv Schweiz (2022),None,132
